Time,Depth (mm),F_z (N)
0.0,0.0,0.0
58.725589752197266,-0.026999988307483708,0.0
117.45108032226562,-0.11199992976070008,-28.17530608636148
176.17654418945312,-0.2599998372785116,-34.616690916389786
234.9020538330078,-0.4819926333582618,-58.04490166363965
293.62750244140625,-0.786999454636758,-80.68840718278653
352.35302734375,-1.1929991276802823,-114.68421115214936
411.0784912109375,-1.7249986568064708,-163.17441696992344
469.8040466308594,-2.4229978972797257,-222.85930145241886
528.5294799804688,-3.3569968229732368,-270.5115938766044
587.2550048828125,-4.6755392600278345,-442.32990618403886
645.9805297851562,-6.335979300877898,-367.7654758656503
704.7059936523438,-8.084971507073057,-429.13699749814646
763.4315795898438,-9.938966380492316,-405.02468527657527
822.1571044921875,-11.918131058531586,-418.92250875466493
880.882568359375,-14.05493949643075,-369.12553678413207
939.6080322265625,-16.039956774159453,-330.0131876397956
998.33349609375,-17.538932296831756,-352.6588568664188
1057.05908203125,-18.71192843386447,-383.6936588259947
1115.7845458984375,-19.58392229136353,-248.9671561398996
1174.510009765625,7.705328735418959e-05,0.0
