Time,Depth (mm),F_z (N)
0.0,0.0,0.0
82.1845703125,-0.09199998103517734,-17.947743518610654
164.3690948486328,-0.39599991737502527,-10.194656075239195
246.55352783203125,-1.0339997133043817,-64.87012238380687
328.7380065917969,-2.240415798941414,-245.57323741416675
410.92254638671875,-3.555996962476237,-376.5697770689582
493.1070861816406,-4.913995837146896,-405.9605934756578
575.29150390625,-6.318976073759467,-323.8230598527589
657.47607421875,-7.7769937054217015,-419.73690932638095
739.6605224609375,-9.293823702586856,-373.39900099206073
821.8450927734375,-10.876043732163737,-405.0518679763611
904.029541015625,-12.40498646638744,-387.9285298962299
986.2140502929688,-13.730985880264457,-373.1976009757662
1068.3985595703125,-14.905984528521511,-398.3721776919371
1150.5830078125,-15.961984024544332,-405.3601365989119
1232.767578125,-16.91598358735446,-357.239353981831
1314.9520263671875,-17.775982333020366,-257.7811602829049
1397.136474609375,-18.543981376991727,-325.4551186387402
1479.321044921875,-19.208038718705644,-265.79565982700706
1561.505615234375,-19.73597952409954,-244.391066288926
1643.68994140625,-8.931831137370949e-05,0.0
