Time,Depth (mm),F_z (N)
0.0,0.0,0.0
37.36610412597656,-0.03899990923034724,0.0
74.73219299316406,-0.160999639177677,-37.22165463648866
112.09815979003906,-0.376999124944291,0.0
149.4642333984375,-0.7059983558223721,0.0
186.83030700683594,-1.1779972795792482,-35.95386102088115
224.19631958007812,-1.8439952785630203,-124.51600073920856
261.5623474121094,-2.8169857936631773,-262.71190705095523
298.928466796875,-4.230968618531242,-394.93041803585055
336.29449462890625,-5.747943972345645,-379.13733354056865
373.66058349609375,-7.3319302013687135,-402.70290776585676
411.0266418457031,-8.992914712668401,-417.4688970987121
448.39263916015625,-10.740731049997173,-309.4850468894224
485.75872802734375,-12.594869610469754,-422.8196631243594
523.124755859375,-14.378838284213929,-373.052342943508
560.4907836914062,-15.835816821464933,-351.88277918229295
597.8568725585938,-17.06380906608486,-436.5192037562333
635.222900390625,-18.110800423037098,-395.8046053603199
672.5889282226562,-18.987789522912067,-311.06334395220176
709.9550170898438,-19.666776806601625,-260.77156979675135
747.3209838867188,-0.01874736245968034,0.0
