Time,Depth (mm),F_z (N)
0.0,0.0,0.0
14.683635711669922,-0.054999974194102116,0.0
29.36716079711914,-0.22799988758235334,-6.678600949134213
44.05068588256836,-0.5439997111364125,-95.24001322907498
58.73427200317383,-1.0499993571348298,-130.95081124536563
73.41777801513672,-1.855197955906652,-241.69434291787982
88.10137176513672,-3.144990032523899,-301.93428401671304
102.784912109375,-4.550067703595941,-563.0520393953766
117.4684829711914,-6.008975309990898,-543.9776260423923
132.15203857421875,-7.526970072924405,-568.1734798032056
146.83558654785156,-9.110153671122196,-697.7539783755709
161.51910400390625,-10.771947574632284,-451.0455094759746
176.20260620117188,-12.501234158189398,-606.7101330838417
190.88616943359375,-14.027298313925042,-465.7124316866334
205.5697479248047,-15.33275946419954,-519.8699737197072
220.2533416748047,-16.473927032462598,-536.4151197711133
234.93687438964844,-17.47989721873956,-469.7942379762528
249.62039184570312,-18.362917278998015,-477.5368830497251
264.3039245605469,-19.117888166586894,-395.04407443976413
278.9875183105469,-19.708912877081016,-363.12708003317937
293.6709899902344,-6.76789239104636e-05,0.0
