Time,Depth (mm),F_z (N)
0.0,0.0,0.0
19.579795837402344,-0.038999983393294475,0.0
39.15950012207031,-0.16099988953436156,-6.702723708793504
58.739200592041016,-0.3773417250804525,-30.34505477688175
78.31888580322266,-0.7069994677738322,0.0
97.89854431152344,-1.1789990318125234,-54.29236011732353
117.4782943725586,-1.8459941905000474,-91.76108058116529
137.05795288085938,-2.8209957510740074,-209.03118985439528
156.63766479492188,-4.235981731187067,-278.74108409434547
176.2174072265625,-5.754286401279409,-377.33382082489254
195.79701232910156,-7.3388615637147945,-345.4904028088778
215.376708984375,-8.99908086947945,-395.04853934362677
234.9564666748047,-10.749170334329582,-359.5130689417697
254.5361328125,-12.603930664753282,-313.89500374370084
274.1158142089844,-14.387851327213962,-281.8608110650936
293.69549560546875,-15.842950729022187,-313.6984611341292
313.27520751953125,-17.071742480431137,-351.9427130485026
332.8549499511719,-18.116946124484112,-316.4267577218313
352.43463134765625,-18.992943081323265,-234.26478666245814
372.0143127441406,-19.670897069858455,-198.71612981926296
391.593994140625,2.588034832573527e-05,0.0
