Time,Depth (mm),F_z (N)
0.0,0.0,0.0
20.562437057495117,-0.03899999114479926,-9.077925210953751
41.124908447265625,-0.16099996329867727,0.0
61.687252044677734,-0.3773183902470692,-14.99786613828543
82.2496566772461,-0.7072187850183551,-23.463649896068716
102.81208038330078,-1.1790076422332945,-53.908429249314175
123.3744125366211,-1.8470213188852287,-149.91591799882823
143.93690490722656,-2.8224219871999465,-268.2729638020039
164.49929809570312,-4.238156761616741,-413.23206613055373
185.06163024902344,-5.756707308389105,-446.5075257722388
205.6240692138672,-7.341960285501353,-418.4519384158
226.1864776611328,-9.004035362097584,-455.6143833545191
246.7488555908203,-10.75386504136602,-408.5593448281704
267.3113098144531,-12.607920361282343,-438.87166961932263
287.8736572265625,-14.391766251903412,-404.06056497603606
308.43603515625,-15.847173368685485,-406.07979754470915
328.9984436035156,-17.07416543425387,-438.5383281616052
349.56085205078125,-18.1197633159708,-389.661356204029
370.123291015625,-18.994980974085735,-275.6075523467748
390.6856384277344,-19.671980180684116,-279.7781528653525
411.24798583984375,-0.00023123159142102168,0.0
