Time,Depth (mm),F_z (N)
0.0,0.0,0.0
27.405517578125,-0.05499998806012112,0.0
54.81108093261719,-0.22799995633974074,-5.761118671068179
82.21658325195312,-0.5433731518658652,-42.735099638900294
109.62200927734375,-1.048999757849511,-102.26101541128321
137.0275421142578,-1.8548162418578489,-212.2408887229423
164.43309020996094,-3.1426881622111664,-292.606938822357
191.83853149414062,-4.549866018382894,-421.8478061099337
219.24411010742188,-6.0078196144905895,-479.79490695548776
246.64956665039062,-7.5253897694175755,-489.560806360645
274.0550231933594,-9.108609524780118,-446.25834625208216
301.4605407714844,-10.768740627079088,-441.35760216844614
328.8660583496094,-12.498610479979824,-467.1575027495795
356.2715759277344,-14.025793911907645,-401.3098376675356
383.67706298828125,-15.33013983024863,-435.72952459373533
411.0825500488281,-16.471976292677404,-462.46490494251157
438.48809814453125,-17.477975640360608,-405.9033418749178
465.89361572265625,-18.360974892137982,-352.00481318320624
493.299072265625,-19.115974056041107,-325.85152826498415
520.7045288085938,-19.7079730835067,-281.32088261196606
548.1099853515625,1.3261797151997712e-05,0.0
