Time,Depth (mm),F_z (N)
0.0,0.0,0.0
9.341602325439453,-0.09199978512076082,0.0
18.683231353759766,-0.3970642632517197,0.0
28.02483367919922,-1.0349960053004996,-73.04583181950181
37.36640167236328,-2.2421806337225103,-170.94053359736404
46.708065032958984,-3.55844971654067,-327.23638884133516
56.04962921142578,-4.916296704193843,-320.0958036206255
65.39122772216797,-6.322889223806524,-189.72484332813355
74.73285675048828,-7.780799547716963,-264.34160394395104
84.07447052001953,-9.297113545067512,-78.23048149963455
93.41600799560547,-10.879992637632295,-144.87623326281434
102.75767517089844,-12.40865917952283,-297.8946626557534
112.09921264648438,-13.734798150732434,-67.8276658366227
121.44085693359375,-14.90944788070326,-264.48011970608013
130.78240966796875,-15.966236613214953,-327.23052954375
140.12403869628906,-16.918999535714562,-257.6941299875407
149.4656982421875,-17.77974079968418,-231.38734936410782
158.80726623535156,-18.547083682917883,-252.03218456458526
168.14881896972656,-19.210992375615145,-186.49196848483805
177.49041748046875,-19.7377222162616,-179.66989872965218
186.83200073242188,3.535013650601826e-05,0.0
