Time,Depth (mm),F_z (N)
0.0,0.0,0.0
22.838829040527344,-0.03899995140199665,-8.298051921395361
45.67761993408203,-0.1609997773977347,-23.796854250292775
68.51644897460938,-0.376999438848606,-44.3337337430979
91.35523986816406,-0.7069497838729963,-59.605650701581396
114.19408416748047,-1.1779981710178318,-120.14482580808992
137.03286743164062,-1.8449967888124168,-214.9950419725661
159.8716583251953,-2.8188653827358543,-340.66777320084043
182.71041870117188,-4.233944075037413,-391.3354572965296
205.5492706298828,-5.750963971922691,-591.9097208174148
228.38807678222656,-7.3349521241648175,-587.7307753361447
251.22683715820312,-8.995901317257252,-513.2489531087722
274.0656433105469,-10.745722813860507,-462.0296839046037
296.9044189453125,-12.598916103660937,-288.54448762784443
319.7432556152344,-14.382906284537013,-305.0795924288511
342.58203125,-15.839581594187525,-504.03196399283735
365.4208984375,-17.067854992154984,-539.7913236950673
388.2596435546875,-18.113846502690144,-538.6528454009652
411.09844970703125,-18.989839785760832,-431.85216398599846
433.93719482421875,-19.66883261814994,-336.9572721421604
456.7760009765625,0.00014917362490951547,0.0
