X,Y,Z,C2M_distances,C2M_min_max
41.42937088,-13.49850368,20.79133606,13.603149,0.000698
40.40926743,-13.4942503,20.65880013,12.631613,28.702607
39.4063797,-13.49022961,20.49620628,11.67563,
38.41095734,-13.48635197,20.31482124,10.727464,
37.42009735,-13.48317814,20.11857605,9.785866,
36.43193436,-13.48165417,19.90855789,8.851012,
35.44713211,-13.48101711,19.68558311,7.930392,
34.46378708,-13.48232174,19.44922256,7.035128,
33.48350906,-13.48612976,19.19920349,6.161593,
21.98878288,-14.03877163,14.25074768,-0.259663,
21.06283569,-14.18154144,13.46597099,-0.437291,
20.15242577,-14.35113525,12.64984322,-0.560158,
19.1723156,-14.54636097,11.71015167,-0.628809,
18.19551277,-14.72342968,10.71185112,-0.666596,
17.1157856,-14.83090591,9.64373207,-0.696642,
15.96268368,-14.87687397,8.63340855,-0.73972,
14.744874,-14.76571178,7.64409637,-0.817125,
13.51603985,-14.65099335,6.707057,-0.821268,
12.40812111,-14.46899128,5.96722794,-0.86214,
11.23766804,-14.37153435,5.26933765,-0.838568,
10.2593956,-14.24377155,4.71625519,-0.806228,
9.15793991,-14.21609592,4.25453758,-0.782391,
8.20572281,-14.14874935,3.90748405,-0.794542,
7.11516523,-14.03194809,3.54132271,-0.787028,
6.16383648,-14.04279232,3.32273483,-0.787186,
5.07725906,-13.98183727,3.08589363,-0.798238,
4.14219666,-13.93666935,2.91312408,-0.784202,
3.0786109,-13.88079929,2.78365707,-0.804131,
2.08854747,-13.83581066,2.67562294,-0.802806,
1.05462229,-13.81279469,2.60773849,-0.801247,
0.06404997,-13.77457714,2.58461952,-0.8124,
41.43269348,-14.49837685,20.79466629,13.932096,
40.4139061,-14.49472332,20.66955757,12.962467,
39.40927124,-14.48999882,20.51509666,12.004997,
38.41308212,-14.48606682,20.34218025,11.059247,
37.42045975,-14.48300648,20.15470314,10.129327,
36.43144989,-14.48060417,19.9542923,9.213558,
35.44397354,-14.48036098,19.74107742,8.305079,
34.4600029,-14.48129272,19.51569748,7.408176,
33.47634506,-14.4843502,19.27684021,6.524916,
32.49563599,-14.49010372,19.02365494,5.665805,
31.51767921,-14.49826813,18.75609779,4.859627,
30.54012299,-14.51038551,18.47123337,4.118382,
29.56745529,-14.52592182,18.16895866,3.477513,
28.59556007,-14.54743958,17.84673309,2.914706,
27.62632751,-14.57603931,17.50003052,2.374388,
26.66278839,-14.61186123,17.12742996,1.873812,
25.7010994,-14.65596867,16.72548676,1.394533,
24.74537086,-14.71517181,16.29190254,0.942706,
23.78873825,-14.78719997,15.8098774,0.540643,
22.85303497,-14.85878658,15.29031372,0.182543,
21.88714409,-14.99107933,14.68821526,-0.125162,
