X,Y,Z,C2M_distances,C2M_min_max
41.43523407,-13.49892902,20.7353344,13.605679,0.001437
40.41734314,-13.49575901,20.60791206,12.637178,28.701368
39.41333771,-13.49205303,20.45092773,11.680959,
38.41724396,-13.48866749,20.27476501,10.733059,
37.42649078,-13.48585415,20.08389282,9.792424,
36.43820572,-13.48475742,19.88002586,8.858293,
35.4523468,-13.48402214,19.66280365,7.937269,
34.46922302,-13.48513412,19.43246841,7.042538,
33.48638916,-13.48758698,19.18596077,6.166519,
22.00697708,-13.97111416,14.25604439,-0.280665,
21.09692764,-14.11606121,13.45879555,-0.43938,
20.17664719,-14.30092621,12.53653431,-0.508845,
19.26942062,-14.47432232,11.55846119,-0.518988,
18.24439049,-14.61297131,10.47191715,-0.561262,
17.16063309,-14.61726665,9.32150745,-0.590215,
15.93662167,-14.49242496,8.17174911,-0.664262,
14.70197773,-14.40914154,7.18757534,-0.708315,
13.63940048,-14.26206493,6.42237854,-0.759693,
12.44336224,-14.14764786,5.64243507,-0.757722,
11.46676636,-14.09989548,5.07296562,-0.720928,
10.38086128,-14.02831173,4.55892563,-0.743013,
9.34089088,-13.9585228,4.13061905,-0.743226,
8.32610226,-13.91897202,3.77322769,-0.753036,
7.29670095,-13.85662079,3.43844795,-0.730434,
6.28956699,-13.81700802,3.17229462,-0.729901,
5.27483654,-13.80278492,2.97819138,-0.74185,
4.25263786,-13.77573109,2.8073101,-0.739781,
3.2472415,-13.72990513,2.66572189,-0.742787,
2.24715114,-13.70957375,2.57904434,-0.756501,
1.21250308,-13.69367027,2.51421547,-0.760624,
0.21254295,-13.66884327,2.4777298,-0.761305,
41.43868637,-14.49920273,20.73876381,13.934946,
40.42085266,-14.49547386,20.61814499,12.966717,
39.41589355,-14.49180222,20.468647,12.009937,
38.41947556,-14.4885416,20.30062294,11.064891,
37.42656708,-14.48553371,20.11832047,10.135445,
36.43723297,-14.48368835,19.92318916,9.220288,
35.44991684,-14.48310184,19.71590805,8.312439,
34.463974,-14.48428726,19.49495506,7.414364,
33.48129654,-14.48631668,19.26049614,6.53204,
32.49989319,-14.49020863,19.01094055,5.67191,
31.52235985,-14.49586105,18.74592018,4.86529,
30.54698753,-14.50551319,18.46389961,4.124858,
29.57542419,-14.51763821,18.16275406,3.48379,
28.60698318,-14.53371048,17.84020996,2.921773,
27.64407921,-14.55489826,17.49451637,2.381773,
26.68213844,-14.58419037,17.11693954,1.882134,
25.73588753,-14.62267113,16.71492004,1.411957,
24.78702736,-14.67644691,16.2862339,0.960349,
23.84212112,-14.73698425,15.822402,0.548902,
22.88654709,-14.82365417,15.29803848,0.186139,
21.95880127,-14.92134476,14.73037624,-0.128609,
20.98564148,-15.0384531,14.00106621,-0.36092,
20.07928467,-15.20451832,13.19045925,-0.463831,
19.14728546,-15.38932228,12.27813339,-0.515191,
18.22640419,-15.53903294,11.32013702,-0.51913,
