X,Y,Z,C2M_distances,C2M_min_max
41.43070602,-13.49776077,20.79599953,13.604439,0.001962
40.41163254,-13.49419498,20.6635685,12.634077,28.702924
39.40872192,-13.49026203,20.50061798,11.67804,
38.41355133,-13.48618507,20.3182354,10.729961,
37.42357635,-13.48367214,20.12103462,9.789346,
36.43613052,-13.48155975,19.91012573,8.854932,
35.45184326,-13.48158836,19.68601227,7.934974,
34.46997452,-13.48290253,19.44828415,7.041122,
33.48994827,-13.48643112,19.19576645,6.168054,
22.06912231,-14.02722263,14.30404949,-0.23601,
21.1623764,-14.21088886,13.55267143,-0.398844,
20.32619095,-14.38058662,12.81150818,-0.512244,
19.38209915,-14.61461926,11.92454815,-0.565393,
18.52064323,-14.79484558,11.06110477,-0.601055,
17.50761795,-14.96041679,10.09022808,-0.628413,
16.45008278,-15.07108974,9.16324234,-0.679659,
15.25898552,-15.00276375,8.14050961,-0.746802,
13.97988605,-14.86429691,7.11507702,-0.782075,
12.77457333,-14.72889805,6.27514744,-0.81378,
11.54938221,-14.50396919,5.4617281,-0.813222,
10.45914459,-14.29336739,4.82915306,-0.8032,
9.35888672,-14.2292881,4.37266159,-0.817993,
8.30688,-14.13004398,3.95762062,-0.816323,
7.28354359,-14.06115723,3.6320076,-0.815279,
6.24765635,-14.00911903,3.35090828,-0.809792,
5.24520493,-13.93693161,3.12263298,-0.823852,
4.2075057,-13.91998386,2.955616,-0.821198,
3.19752955,-13.89240456,2.80393028,-0.805778,
2.20661283,-13.83489037,2.70693779,-0.822828,
1.16401815,-13.80539513,2.64044762,-0.829998,
0.16555123,-13.766716,2.60308266,-0.833138,
41.43492889,-14.4979496,20.79967117,13.934353,
40.41496658,-14.49402523,20.67422867,12.963483,
39.41207886,-14.49000645,20.51943398,12.007838,
38.41521835,-14.48625088,20.34588051,11.061428,
37.42383194,-14.48291969,20.15760231,10.132458,
36.43498993,-14.48123074,19.95631218,9.217059,
35.44906616,-14.48050022,19.74239159,8.309795,
34.46448898,-14.48168182,19.51525307,7.412489,
33.48340988,-14.48472023,19.27478981,6.531771,
32.50350571,-14.49019718,19.01947021,5.673701,
31.52659607,-14.49806309,18.74775314,4.86943,
30.55340385,-14.50959778,18.45927048,4.133596,
29.58208847,-14.52476597,18.15076447,3.497858,
28.61678505,-14.54312325,17.82175636,2.942514,
27.65485001,-14.56949806,17.471035,2.408216,
26.69549751,-14.60498619,17.09247398,1.913626,
25.74500465,-14.6470232,16.68371773,1.445366,
24.79945755,-14.70291233,16.24478722,1.002511,
23.85853004,-14.77799129,15.77085495,0.606785,
22.92932129,-14.86894989,15.27175999,0.251383,
21.98241234,-14.98460674,14.70278358,-0.068033,
21.06806755,-15.10319519,14.04343796,-0.294495,
20.16854477,-15.27987671,13.35074997,-0.449967,
19.25031853,-15.5008688,12.54682446,-0.529678,
18.40048409,-15.6824379,11.78094673,-0.572472,
17.3824482,-15.91403961,10.8758297,-0.619148,
16.44790459,-16.03937149,10.008111,-0.629714,
15.29532623,-16.13749695,9.08777428,-0.691295,
14.16361618,-16.10438538,8.16934204,-0.73327,
12.89014339,-15.91606045,7.14578342,-0.750428,
11.7564764,-15.73879719,6.37310982,-0.788572,
10.46946049,-15.57098198,5.64422131,-0.810539,
9.4099369,-15.39241409,5.06394577,-0.793572,
8.31339169,-15.26173973,4.60618401,-0.822225,
7.27798891,-15.15448284,4.23555183,-0.820566,
6.21283579,-15.0749464,3.90811157,-0.821841,
5.21212149,-15.03840542,3.67644882,-0.818173,
4.1542902,-14.9793787,3.45675659,-0.80593,
3.18780041,-14.91629982,3.29772377,-0.807478,
2.13660359,-14.88784313,3.20242691,-0.828151,
1.12133694,-14.86090183,3.12073517,-0.819445,
0.10449933,-14.84110928,3.09075737,-0.817735,
-0.92467958,-14.80732155,3.08847618,-0.81718,
-1.91664338,-14.74623966,3.1139698,-0.825436,
-2.99149227,-14.72156239,3.1875515,-0.820355,
-4.01147175,-14.75516891,3.2933712,-0.78271,
-5.00020742,-14.71350384,3.45700645,-0.805011,
-6.10842752,-14.67204285,3.65270233,-0.804897,
-7.11098337,-14.66071033,3.88293839,-0.803875,
-8.20290375,-14.71512699,4.24492073,-0.80849,
-9.24869537,-14.74559307,4.61203957,-0.814794,
-10.35204697,-14.69698334,5.0398922,-0.816185,
-11.49782944,-14.86958408,5.66657639,-0.801982,
-12.65596581,-14.96154881,6.33724689,-0.790821,
-13.84105301,-15.09774399,7.18262386,-0.78164,
-15.01575947,-15.24916458,8.10700321,-0.721075,
-16.12096977,-15.28616333,9.08843517,-0.712065,
-17.10629082,-15.28722477,9.99538326,-0.648166,
-18.0179348,-15.24229145,10.90594959,-0.603854,
-18.84768486,-15.13333321,11.78866673,-0.58125,
-19.67782021,-14.96363449,12.57831287,-0.541197,
-20.48670387,-14.85463524,13.3341732,-0.444526,
-21.29315948,-14.78329945,14.05910015,-0.302852,
-22.18257713,-14.73014259,14.71375656,-0.054912,
-23.05927849,-14.67491531,15.24983788,0.260777,
-23.96713066,-14.63332558,15.75717926,0.625252,
-24.87781906,-14.59994793,16.21805573,1.029342,
-25.80404854,-14.5723114,16.65330696,1.472124,
-26.74100304,-14.54891014,17.0574398,1.941064,
-27.68662071,-14.52942848,17.43426323,2.435793,
-28.64089584,-14.51648712,17.78700066,2.969277,
-29.60011292,-14.5056715,18.11638641,3.522709,
-30.56606102,-14.49614239,18.42583084,4.151255,
-31.53602982,-14.49046326,18.71603584,4.882656,
-32.51008606,-14.48585606,18.98916626,5.683319,
-33.48731995,-14.48274899,19.24662399,6.537797,
-34.4666481,-14.48178768,19.48992729,7.416219,
-35.44923019,-14.48199844,19.72026062,8.311235,
-36.43399811,-14.48318195,19.93776321,9.216996,
-37.42179871,-14.48563957,20.14288521,10.131392,
-38.41231918,-14.48846054,20.33513069,11.059149,
-39.4093399,-14.49231625,20.51265717,12.005713,
-40.41331482,-14.49594402,20.67016602,12.962339,
-41.4331398,-14.49904156,20.7972393,13.932881,
41.43819427,-15.49802494,20.80294418,14.265127,
40.41954803,-15.4940691,20.68505669,13.305748,
39.41470718,-15.48969078,20.5383358,12.367498,
38.41779709,-15.48605728,20.37355995,11.439461,
37.42429352,-15.48280239,20.1945343,10.516036,
36.43442154,-15.48057747,20.00296021,9.598864,
35.44626236,-15.47984886,19.799263,8.687964,
34.46047592,-15.48063087,19.58322716,7.789154,
33.47671127,-15.48323822,19.3545475,6.920427,
32.49427795,-15.48786354,19.11162758,6.074306,
31.51561737,-15.49525452,18.85433197,5.258643,
30.53756523,-15.50503063,18.58013535,4.487783,
29.56492615,-15.51847553,18.28939629,3.797351,
28.59373474,-15.53748131,17.97987175,3.234714,
27.62587929,-15.56165314,17.64810562,2.705406,
26.66258812,-15.59180546,17.29174042,2.194991,
25.7051754,-15.63152885,16.91062355,1.71096,
24.75254631,-15.68010807,16.50166702,1.271601,
23.80362511,-15.73910618,16.06189728,0.856008,
22.85935593,-15.822258,15.59177399,0.471188,
21.91562271,-15.92703438,15.07549286,0.152199,
20.98916245,-16.04032135,14.5362072,-0.135357,
20.01963997,-16.19901276,13.87356949,-0.351354,
19.14614296,-16.36455154,13.18059158,-0.458856,
18.21472359,-16.5800724,12.43956089,-0.545758,
17.28822708,-16.79547501,11.65871334,-0.570344,
16.34146118,-16.96588707,10.86731911,-0.621253,
15.28557873,-17.1244297,9.97260475,-0.626942,
14.23486042,-17.1528759,9.14945316,-0.684451,
13.05064392,-17.14443779,8.29344082,-0.744452,
11.86036301,-17.01140976,7.39650059,-0.745301,
10.6165514,-16.80502701,6.59607697,-0.781522,
9.48814297,-16.62509346,5.93647957,-0.785946,
8.38117313,-16.45362663,5.39212513,-0.804775,
7.26208878,-16.34056664,4.9563942,-0.802999,
6.23784971,-16.24705124,4.62349892,-0.821836,
5.16470957,-16.13542557,4.31381607,-0.814159,
4.16516495,-16.06395149,4.06890106,-0.797482,
3.13585138,-16.00631332,3.91557503,-0.823672,
2.06298304,-15.96234322,3.78005981,-0.819339,
1.10219359,-15.93611145,3.7032032,-0.811366,
0.04139563,-15.87013435,3.65139961,-0.81603,
-0.97015542,-15.84745693,3.64381981,-0.805998,
