Time,Depth (mm),F_z (N)
0.0,0.0,0.0
18.68301773071289,-0.054120813627818516,-20.46600981699229
37.3661003112793,-0.2278321478523381,-62.43241190181783
56.049041748046875,-0.5429988461833148,-107.0152223994599
74.7320327758789,-1.0489974076812625,-51.27060227673711
93.41505432128906,-1.853992503875817,-167.2486315913451
112.0980453491211,-3.141034952370277,-95.51514952704449
130.7810516357422,-4.54695644591932,-439.5336233002804
149.4640350341797,-6.005219894575282,-504.7270613463794
168.14700317382812,-7.523305653194049,-559.5060795458605
186.83010864257812,-9.105831301698771,-365.6640201893695
205.51303100585938,-10.766661196831961,-317.7669807162539
224.19602966308594,-12.495805264590075,-279.8391668061331
242.87905883789062,-14.022743812458707,-440.47129723393283
261.56207275390625,-15.327786963179966,-480.7921098852272
280.24505615234375,-16.468768456176917,-433.6065133542843
298.9280090332031,-17.475743146174167,-420.57525040639126
317.61102294921875,-18.358735123803555,-394.51348189494945
336.2940368652344,-19.113724457893937,-294.35144857670383
354.97705078125,-19.706711431213655,-223.1952246284148
373.6600036621094,-0.0028858250152330456,0.0
