Time,Depth (mm),F_z (N)
0.0,0.0,0.0
19.579774856567383,-0.038999975664911535,0.0
39.15948486328125,-0.16099990204989523,-60.40692793009121
58.73920440673828,-0.3773419727741677,-99.79227377715891
78.31886291503906,-0.7069995227840045,-80.78695552246705
97.89856719970703,-1.1789991495048049,-112.64885781436176
117.478271484375,-1.8459941106128261,-149.4146086345889
137.05795288085938,-2.8209958114692077,-254.79863260565335
156.6376495361328,-4.235981378487018,-314.73745576046474
176.21739196777344,-5.754285258247261,-452.0875193648171
195.79708862304688,-7.338867898307628,-411.54722923059376
215.3767852783203,-8.999085907871883,-541.1674299365184
234.95645141601562,-10.749168515011162,-538.2946273616025
254.53614807128906,-12.60393050899177,-476.4333121662302
274.1158142089844,-14.387851190581298,-416.06219733935427
293.695556640625,-15.842950057853129,-427.68010867001277
313.2752685546875,-17.071746386190643,-476.7068143118089
332.85498046875,-18.116945013929804,-422.7255946981345
352.4346923828125,-18.99294184655058,-340.1830747399363
372.01434326171875,-19.670898643532915,-228.8402710037845
391.593994140625,4.1873122110125394e-05,0.0
