Time,Depth (mm),F_z (N)
0.0,0.0,0.0
41.115264892578125,-0.026999994218120327,-9.116980357800653
82.23052215576172,-0.11199997597795794,-24.08401076598203
123.34578704833984,-0.2609999345194794,-36.39419589947836
164.46109008789062,-0.48199987689440715,-79.71238268319946
205.57632446289062,-0.7879997030561507,-96.81995389221107
246.69154357910156,-1.1939996541478999,-108.59566444721825
287.8068542480469,-1.72699947413472,-152.95648188617318
328.92205810546875,-2.425976934332833,-191.83769638028258
370.0372619628906,-3.3599996345317864,-268.43119828832783
411.1525573730469,-4.67999602743005,-347.6718456619832
452.26776123046875,-6.34099089662754,-453.17415080857427
493.3830261230469,-8.091985047310786,-517.7861979311954
534.498291015625,-9.945986603917133,-537.506975307926
575.613525390625,-11.927370905755406,-566.6226948731432
616.7288208007812,-14.062976936460203,-571.20036850081
657.8440551757812,-16.047351939394833,-514.8211803976882
698.959228515625,-17.544914846205558,-490.78658108447934
740.0745849609375,-18.715972310811413,-422.9674625011015
781.1898193359375,-19.58697031782891,-260.1667148225469
822.3049926757812,2.7230195089877895e-05,0.0
