Time,Depth (mm),F_z (N)
0.0,0.0,0.0
14.68360710144043,-0.05499997456804997,0.0
29.367103576660156,-0.2279998792895615,-63.28393467794104
44.05066680908203,-0.5439997094121993,-121.9747160746588
58.7342643737793,-1.0499993765535884,-106.14615725709388
73.4178237915039,-1.8552035926922865,-171.0550708125993
88.10136413574219,-3.1449900239869573,-181.61845205651443
102.78487396240234,-4.550063143756106,-393.6873962230293
117.46842956542969,-6.008975296355473,-364.84529518540876
132.15200805664062,-7.5269700606335,-466.35515840053847
146.8355255126953,-9.110144227496159,-541.6518829760245
161.51910400390625,-10.771947892505771,-489.805815474862
176.20263671875,-12.501240800710011,-549.100191632081
190.8861541748047,-14.02729708067628,-415.79006021030926
205.56973266601562,-15.332757237319711,-433.6430384645486
220.25326538085938,-16.47392572062296,-422.49083445667736
234.9368133544922,-17.47989502338629,-391.47084348495173
249.620361328125,-18.36291674287731,-343.7317687008696
264.3039245605469,-19.11788794927673,-292.6986585668291
278.987548828125,-19.708912264191863,-256.2091140978123
293.6709899902344,-0.00010881098741588602,0.0
