Time,Depth (mm),F_z (N)
0.0,0.0,0.0
11.42813491821289,-0.02699996343945488,-10.38265514217861
22.856264114379883,-0.11199985975047094,-58.21857627532906
34.28437042236328,-0.26099964728680614,-65.26832513558487
45.71244812011719,-0.4819993404712558,-65.0612143398725
57.14051055908203,-0.7879983801539512,-108.21163927390143
68.568603515625,-1.1949976747429962,-120.11593587610437
79.99671173095703,-1.7283611376295474,-183.27222614585696
91.42489624023438,-2.4279981885728965,-185.5796013158003
102.85296630859375,-3.3639624245033213,-202.62077304611847
114.28106689453125,-4.6869751005194225,-312.71864346487064
125.70915222167969,-6.3496726013690505,-575.4315721469895
137.13723754882812,-8.101211450725835,-613.2891125309658
148.5653076171875,-9.956723486442593,-615.2343351750148
159.99342346191406,-11.938973679743416,-671.3731198088359
171.42160034179688,-14.078961892993767,-793.1305159019985
182.84963989257812,-16.059827492685763,-514.5430159214999
194.2777862548828,-17.55492434286531,-607.06940567654
205.705810546875,-18.72484801703824,-387.1635881385755
217.13400268554688,-19.592942085574244,-297.4905991227948
228.56199645996094,-0.0013873482611703736,0.0
