Time,Depth (mm),F_z (N)
0.0,0.0,0.0
20.56244468688965,-0.03899999132785927,-17.221759149234018
41.12489318847656,-0.16099996164398658,-73.3207768018923
61.68729019165039,-0.37732064542995514,-88.15572706689262
82.24967956542969,-0.7072199862851605,-78.21497963631258
102.81208801269531,-1.1790077796211442,-111.99451921000812
123.37439727783203,-1.8470211140758288,-157.17841918101328
143.93687438964844,-2.822419197742053,-262.9982476544614
164.49920654296875,-4.238147646165224,-397.4875163031077
185.06170654296875,-5.756716517368657,-403.516309560263
205.6240997314453,-7.34196082721456,-448.0109512792693
226.1864471435547,-9.00403379148337,-542.8275642907545
246.74884033203125,-10.753864679892686,-538.3764961569427
267.3112487792969,-12.607918439790861,-532.6696897009597
287.8736877441406,-14.39176716935036,-522.4282068212161
308.4360046386719,-15.847170852479668,-506.29125034532086
328.99847412109375,-17.074165552438014,-510.1507385890015
349.5608215332031,-18.119760540501197,-440.78856999705965
370.1232604980469,-18.994980154935195,-336.37932883929204
390.6856994628906,-19.671979460091507,-253.95505858419497
411.24798583984375,-0.0002315905625165371,0.0
