Time,Depth (mm),F_z (N)
0.0,0.0,0.0
9.341684341430664,-0.09199980071368655,0.0
18.683218002319336,-0.39706360711710165,-52.57901263972191
28.024900436401367,-1.0349962591650936,-45.9037916660076
37.36644744873047,-2.242189378970328,-214.1775263776269
46.70804977416992,-3.5584430814846355,-407.1154426445121
56.04961013793945,-4.916291711901236,-422.380410467761
65.39120483398438,-6.322885222966737,-220.38495241380733
74.73287200927734,-7.780798306042737,-502.43659835589494
84.074462890625,-9.297111206241437,-443.71345209610115
93.41609191894531,-10.88000592120966,-620.235770596884
102.75769805908203,-12.408670687287165,-493.59776084647365
112.09922790527344,-13.734796484241464,-102.3895642793441
121.44091033935547,-14.90946006105662,-646.6340410370483
130.78240966796875,-15.96623149556613,-413.00397762760696
140.1240997314453,-16.91900523236222,-381.6653442280999
149.46566772460938,-17.779738572362753,-254.90835270039952
158.8072967529297,-18.547085835621907,-434.70556157461255
168.14883422851562,-19.210993243197578,-266.9665245700203
177.49041748046875,-19.73771900301376,-239.70084500937028
186.83200073242188,-0.0014016137189436506,0.0
