Time,Depth (mm),F_z (N)
0.0,0.0,0.0
37.36608123779297,-0.038999903857098416,-33.29766541449229
74.73210906982422,-0.1609996389823211,-14.392781156399066
112.09823608398438,-0.37699910013048754,-49.69804341504067
149.4643096923828,-0.7059984261702208,0.0
186.83035278320312,-1.1779972989748722,-93.17591621936693
224.1963653564453,-1.8439952958034316,-144.2160334799588
261.5624084472656,-2.816985146695184,-177.56574870557253
298.928466796875,-4.230967289384583,-342.46677977536984
336.2945556640625,-5.74794171783885,-280.4260166518744
373.66058349609375,-7.331927874994221,-353.5329715246115
411.0266418457031,-8.992911653865894,-423.62552480870613
448.3926086425781,-10.740722232139397,-425.1165376453581
485.75872802734375,-12.594864460916707,-497.9766102492628
523.124755859375,-14.3788303537685,-355.38541916383474
560.4907836914062,-15.835808036026599,-378.9680031494626
597.8568115234375,-17.063800011268956,-344.70186768486155
635.2229614257812,-18.11079103722487,-301.72350797843694
672.5889282226562,-18.98777915824686,-231.06053904038978
709.9550170898438,-19.666766129576807,-200.6113279045501
747.3209838867188,-0.018662149871026656,0.0
