Time,Depth (mm),F_z (N)
0.0,0.0,0.0
22.83882713317871,-0.03899994752205222,-18.60974100924447
45.67763900756836,-0.1609997989181086,-51.46916336584727
68.5165023803711,-0.3769994814618004,-65.6694099384274
91.35529327392578,-0.7069519659346878,-120.92471152859487
114.19401550292969,-1.177998198456569,-124.11867592185978
137.0328826904297,-1.8449967637893006,-155.9058841155244
159.87168884277344,-2.8188678559442977,-223.049469051888
182.71047973632812,-4.233949088309731,-255.1034781403668
205.54920959472656,-5.750964411813358,-405.74071643191076
228.38807678222656,-7.334952690593765,-376.08006288045505
251.226806640625,-8.995899767592556,-467.43096660400835
274.0656433105469,-10.745722345627398,-431.6832550638607
296.9043884277344,-12.598915780834023,-323.9089598615351
319.74322509765625,-14.382902943042103,-366.2171232949022
342.58203125,-15.839581650900428,-471.2595830929838
365.42083740234375,-17.0678527037301,-435.25512579312186
388.2596740722656,-18.113843918081166,-423.3456891771879
411.0984191894531,-18.98983693864063,-326.1894117715663
433.9372253417969,-19.668829495297544,-232.82259779924274
456.7760009765625,0.0001496324184220299,0.0
