Time,Depth (mm),F_z (N)
0.0,0.0,0.0
12.461697578430176,-0.026999939925326392,0.0
24.923336029052734,-0.11199975397990328,-20.512190305843774
37.385005950927734,-0.26099937262096146,-65.53448485479059
49.846702575683594,-0.48200909441372763,-57.79657158236481
62.30830383300781,-0.7879978583464351,-73.98335190168554
74.76995086669922,-1.1949964356784004,-120.75697148892819
87.23158264160156,-1.7287854732021142,-140.87006027710854
99.69322204589844,-2.4279914684101613,-234.92734037899464
112.15487670898438,-3.3639866961814087,-292.60237196718
124.6165771484375,-4.684977330593689,-156.28749883881858
137.0782012939453,-6.346877763551966,-289.6515382507479
149.5398712158203,-8.097875932508986,-118.80592597719415
162.0015411376953,-9.953614534358497,-409.7060435028147
174.46315002441406,-11.93487523962224,-587.7400268821797
186.92477416992188,-14.072019462671795,-625.711497368497
199.38648986816406,-16.054160615233297,-570.4542721858962
211.8480682373047,-17.549640090496386,-413.54137971216943
224.30970764160156,-18.72071278422229,-391.62404517457196
236.77139282226562,-19.589692012086413,-268.15271518754315
249.23300170898438,0.0001982703727767543,0.0
