Time,Depth (mm),F_z (N)
0.0,0.0,0.0
82.18453979492188,-0.09199997982613423,-16.668300767393113
164.3690643310547,-0.39599991862796136,-35.25068720871054
246.55360412597656,-1.0339997103987546,-102.18830631016796
328.738037109375,-2.240411580910973,-159.0508625227427
410.9225769042969,-3.5559969267840765,-246.3873477294391
493.1070251464844,-4.9139958402348345,-307.0816153398001
575.2915649414062,-6.318976445083118,-283.35764563074173
657.47607421875,-7.7769937140973715,-335.1269708036438
739.6605224609375,-9.293822555063096,-354.4980721720232
821.8450927734375,-10.876043637410996,-370.3716549339701
904.029541015625,-12.404986528579094,-398.2766918060395
986.214111328125,-13.730986033576984,-405.52390042806957
1068.3985595703125,-14.905984586086511,-375.3536769331155
1150.5831298828125,-15.961984061400782,-313.35900767428086
1232.7674560546875,-16.91598360244272,-278.7621457034483
1314.9520263671875,-17.77598237448574,-287.89198459190345
1397.136474609375,-18.543981305567208,-240.63508454194363
1479.321044921875,-19.20803420115392,-173.4339417088082
