Time,Depth (mm),F_z (N)
0.0,0.0,0.0
45.66376495361328,-0.05399994285518036,0.0
91.32752990722656,-0.2269997777258713,-62.79135702317396
136.9912567138672,-0.5429994155603197,-52.50284478123405
182.65504455566406,-1.0479986474922354,-116.33220508358986
228.31878662109375,-1.85299490817006,-128.58671376590738
273.9825439453125,-3.1408023582323246,-212.72503368559478
319.6463317871094,-4.545980450062974,-314.50042093472234
365.3100280761719,-6.003970780730244,-101.29642115148772
410.9737854003906,-7.520958762887208,-426.8313329243346
456.6375427246094,-9.104944452648171,-276.43226411793995
502.30133056640625,-10.764337594145802,-438.7729173700631
547.9650268554688,-12.492008107536499,-438.6966137225753
593.6287841796875,-14.019905338241177,-390.7465494947553
639.2925415039062,-15.324900961780578,-407.7375519777728
684.9563598632812,-16.466889847834857,-433.11292066440797
730.6200561523438,-17.47388235991631,-316.8503781054585
776.2838134765625,-18.356878066738858,-271.2430542503922
821.947509765625,-19.112481568796415,-223.2192284285619
867.6112670898438,-19.705866323898903,-180.49015887140445
913.2750244140625,-3.453852654899947e-05,0.0
